AVALIADOR,TITULO,NOME_UNIDADE,ID_PROJETO,BOLSAS,COORDENADOR,NOME_DISCIPLINA
BIANCA IZUMI MAEDA                                                              ,MONITORIA EM ANATOMIA VEGETAL,Departamento de Bot‚nica                                                                                                                                                                                                                                      ,2002,2,DENISE ESPELLET KLEIN                                                           ,ANATOMIA VEGETAL                                                                                                                                                                                                                                          
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Projeto JURISPSI:Os Desafios atuais da Psicologia Jur√≠dica no Brasil,"Departamento de Fundamentos em CiÍncias JurÌdicas, PolÌticas e de AdministraÁ„o                                                                                                                                                                               ",2043,2,DENISE MAURANO MELLO                                                            ,PSICOLOGIA JURÕDICA
BIANCA IZUMI MAEDA                                                              ,ENSINO DE GEOCI√É≈†NCIAS,Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,2415,1,DEUSANA MARIA DA COSTA MACHADO                                                  ,ENSINO DE GEOCI NCIAS                                                                                                                                                                                                                                     
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,DOCUMENTA√É‚Ä°√É∆íO E INFORMA√É‚Ä°√É∆íO EM CONTEXTO DE MUSEALIZA√É‚Ä°√É∆íO,Departamento de Estudos e Processos MuseolÛgicos                                                                                                                                                                                                              ,2285,2,DIANA FARJALLA CORREIA LIMA                                                     ,INFORMA«√O E DOCUMENTA«√O MUSEOL”GICA I
BIANCA IZUMI MAEDA                                                              ,As contribui√ß√µes da(s) Lingu√≠stica(s) para o ensino de L√≠ngua Portuguesa nos anos iniciais do Ensino Fundamental,Departamento de Did·tica                                                                                                                                                                                                                                      ,2455,1,DIEGO DA SILVA VARGAS                                                           ,LÌngua Portuguesa na EducaÁ„o                                                                                                                                                                                                                             
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,Aprendendo a perguntar: questionamentos filos√≥ficos a partir de um di√°logo interdisciplinar,Departamento de Filosofia                                                                                                                                                                                                                                     ,2313,2,ECIO ELVIS PISETTA                                                              ,INTRODU«√O AOS PROBLEMAS METAFÕSICOS
ARMANDO PINHEIRO NETO                                                           ,ASSIST√É≈†NCIA NAS ATIVIDADES PR√É¬ÅTICAS DO COMPONENTE CURRICULAR BROMATOLOGIA E ACOMPANHAMENTO DOS ALUNOS VISANDO MELHOR APROVEITAMENTO ACAD√É≈†MICO,Departamento de Medicina Geral                                                                                                                                                                                                                                ,1963,1,EDIRA CASTELLO BRANCO DE ANDRADE                                                ,ABORDAGEM INTEGRADA DAS CAUSAS DE ACIDENTES
ARMANDO PINHEIRO NETO                                                           ,Atividades de apoio aos discentes de Metodologia Cient√≠fica,Departamento de Medicina Geral                                                                                                                                                                                                                                ,2256,1,EDSON FERREIRA LIBERAL                                                          ,ABORDAGEM INTEGRADA DAS CAUSAS DE ACIDENTES
VER‘NICA FONS CA DOS SANTOS SILVA                                               ,O PAPEL DO ESTADO NA LOG√çSTICA HUMANIT√ÅRIA,Departamento de EstratÈgias de Gest„o                                                                                                                                                                                                                         ,2231,2,EDUARDO ESPINDOLA HALPERN                                                       ,ADMINISTRA«√O DA CADEIA DE SUPRIMENTOS
Indispon√≠vel,Projeto de Ensino em Qu√≠mica Org√¢nica,Departamento de CiÍncias Naturais                                                                                                                                                                                                                             ,1901,2,EDWIN GONZALO AZERO ROJAS                                                       ,QUÕMICA ORG¬NICA
MONICA CARLA GONCALVES DE BRITO MOTA                                            ,Fundamentos pr√°ticos e te√≥ricos da Fisiologia Humana,Departamento de CiÍncias FisiolÛgicas                                                                                                                                                                                                                         ,2332,1,ELIANE DANTAS ROCHA                                                             ,Fisiologia Humana
BIANCA IZUMI MAEDA                                                              ,Descobrindo o mundo dos artr√≥podos,Departamento de Zoologia                                                                                                                                                                                                                                      ,2057,2,ELIDIOMAR RIBEIRO DA SILVA                                                      ,ZOOLOGIA DE ARTR”PODOS                                                                                                                                                                                                                                    
BIANCA IZUMI MAEDA                                                              ,BIBLIOGRAFIA SOBRE FUNDAMENTOS ARQUIVISTICOS DISPONIVEL NA INTERNET,Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,2058,2,ELIEZER PIRES DA SILVA                                                          ,INTRODU«√O A ARQUIVOLOGIA                                                                                                                                                                                                                                 
BIANCA IZUMI MAEDA                                                              ,"Educa√ß√£o,  sociedade e quest√£o social",Departamento de Estudos e Processos ArquivÌsticos                                                                                                                                                                                                             ,2073,2,ELISABETH ORLETTI                                                               ,"TRABALHO, QUEST√O SOCIAL E SERVI«O SOCIAL"
BIANCA IZUMI MAEDA                                                              ,PROJETO MONITORIA: DISCIPLINA DE DEONTOLOGIA,Departamento de NutriÁ„o Aplicada                                                                                                                                                                                                                             ,2114,2,ELKA DO COUTO COELHO DE CARVALHO                                                ,Deontologia
BIANCA IZUMI MAEDA                                                              ,Estudo Experimental dos Alimentos versus Gastronomia Molecular: √°reas que caminham lado a lado,Departamento de NutriÁ„o Fundamental                                                                                                                                                                                                                          ,2473,2,ELLEN MAYRA DA SILVA MENEZES                                                    ,Estudo Experimental dos Alimentos                                                                                                                                                                                                                         
